"Périmètre";"Périmètre.ID";"Année";"Qualification.Candidats.PR";"Qualification.Candidats.PR.femmes";"Qualification.Qualifiés.PR";"Qualification.Qualifiés.PR.femmes";"Qualification.Candidats.MCF";"Qualification.Candidats.MCF.femmes";"Qualification.Qualifiés.MCF";"Qualification.Qualifiés.MCF.femmes";"Concours.Postes.PR";"Concours.Candidats.PR";"Concours.Candidats.PR.femmes";"Concours.Recrutés.PR";"Concours.Recrutés.PR.femmes";"Concours.Postes.MCF";"Concours.Candidats.MCF";"Concours.Candidats.MCF.femmes";"Concours.Recrutés.MCF";"Concours.Recrutés.MCF.femmes"
"Groupe";"9";2011;439;0,175;289;0,183;1376;24;867;0,238;140;344;0,154;127;0,173;247;1143;0,239;237;0,207
"Groupe";"9";2012;437;0,165;309;0,175;1265;23,6;859;0,237;136;337;0,151;116;0,172;225;1056;0,239;208;0,24
"Groupe";"9";2013;443;0,201;319;0,188;1287;22,2;817;0,201;94;278;0,129;85;0,176;206;1093;0,223;194;0,201
"Groupe";"9";2014;381;0,152;260;0,142;1204;27,3;738;0,248;99;294;0,109;94;0,106;142;1021;0,228;137;0,182
"Groupe";"9";2015;371;0,17;276;0,156;1147;27,7;760;0,253;67;260;0,15;59;0,153;132;1056;0,263;125;0,208
"Groupe";"9";2016;379;0,185;290;0,186;1089;28,7;809;0,274;76;288;0,09;72;0,111;110;982;0,248;106;0,236
"Groupe";"9";2017;399;0,198;306;0,206;1035;28,8;771;0,284;77;260;0,162;74;0,162;131;918;0,255;121;0,273
"Groupe";"9";2018;405;0,168;334;0,177;1007;26,6;784;0,267;51;213;0,183;51;0,137;124;845;0,269;113;0,204
"Groupe";"9";2019;429;0,207;349;0,209;1123;27,2;838;0,285;63;268;0,149;61;0,148;114;797;0,272;106;0,34
"Groupe";"9";2020;406;0,19;338;0,186;1154;29,7;787;0,287;81;289;0,156;76;0,197;122;978;0,302;113;0,283
"Section";"1";2009;3,88888888888889;0,25;1;0;275,106857928629;56,3;92;0,478;37;35;0,4;27;0,407;65;225;0,516;63;0,429
"Section";"1";2010;3,56481481481481;0,364;2;0;225,706864864045;55,1;85;0,494;47;41;0,268;30;0,3;73;202;0,545;72;0,431
"Section";"1";2011;2;0,5;0;0;250;55,2;92;0,598;33;25;0,4;21;0,381;76;252;0,587;71;0,535
"Section";"1";2012;3;0;0;0;253;53,8;83;0,518;37;94;0,468;25;0,44;97;234;0,543;94;0,574
"Section";"1";2013;2;0;0;0;215;59,5;70;0,557;26;46;0,391;24;0,417;75;183;0,557;72;0,528
"Section";"1";2014;1;1;0;0;225;55,1;70;0,643;31;42;0,357;27;0,37;80;177;0,571;77;0,571
"Section";"1";2015;175;0,606;14;0,714;238;57,6;75;0,56;36;41;0,39;27;0,333;61;169;0,604;60;0,667
"Section";"1";2016;128;0,516;18;0,556;250;60,4;80;0,713;32;45;0,556;27;0,519;63;225;0,587;62;0,516
"Section";"1";2017;86;0,605;13;0,692;224;50,9;65;0,431;29;45;0,467;27;0,333;78;237;0,565;74;0,635
"Section";"1";2018;52;0,5;6;0,333;223;51,1;55;0,527;25;38;0,553;21;0,619;66;204;0,549;64;0,609
"Section";"1";2019;61;0,541;11;0,636;254;57,5;68;0,559;24;45;0,467;21;0,381;53;214;0,505;50;0,62
"Section";"1";2020;59;0,441;12;0,5;246;49,2;75;0,467;28;49;0,49;26;0,462;55;178;0,545;55;0,455
"Section";"10";2009;27,7160493827161;0,429;11;0,364;187,173785168938;65,3;59;0,678;9;36;0,556;8;0,75;5;122;0,623;5;0,8
"Section";"10";2010;18,2134038800705;0,565;5;0,8;139,220170786814;70;51;0,765;6;32;0,625;6;0,5;5;140;0,714;5;0,8
"Section";"10";2011;20;0,55;10;0,7;118;67,8;39;0,795;7;23;0,609;5;0,6;6;172;0,703;6;0,667
"Section";"10";2012;23;0,435;13;0,385;153;66,7;63;0,73;9;37;0,595;9;0,556;3;81;0,778;3;1
"Section";"10";2013;12;0,5;8;0,625;139;65,5;68;0,691;7;26;0,654;6;0,333;7;170;0,735;7;0,571
"Section";"10";2014;23;0,652;15;0,733;147;66;59;0,627;3;16;0,75;3;0,333;7;246;0,663;7;0,571
"Section";"10";2015;22;0,409;13;0,308;150;66;60;0,8;3;16;0,625;3;0,667;3;72;0,722;3;1
"Section";"10";2016;20;0,75;11;0,727;134;68,7;53;0,698;4;19;0,737;4;1;5;156;0,75;5;0,8
"Section";"10";2017;11;0,727;4;0,75;127;74,8;51;0,784;5;24;0,708;4;1;3;130;0,685;3;1
"Section";"10";2018;25;0,68;14;0,857;155;62,6;70;0,643;1;18;0,778;1;0;7;150;0,713;6;1
"Section";"10";2019;22;0,636;9;0,556;158;58,9;67;0,672;4;22;0,636;4;0,5;2;91;0,681;2;0,5
"Section";"10";2020;17;0,471;9;0,444;175;58,9;72;0,694;1;18;0,611;1;1;5;130;0,669;5;0,4
"Section";"11";2009;39,3675213675214;0,681;32;0,656;210,870640653781;63,6;123;0,667;56;69;0,536;37;0,568;96;344;0,669;92;0,761
"Section";"11";2010;28,4786324786325;0,559;20;0,55;187,820003821181;67,3;117;0,726;50;57;0,526;33;0,545;74;318;0,679;71;0,648
"Section";"11";2011;33;0,576;26;0,615;172;65,7;113;0,673;52;64;0,484;28;0,5;65;306;0,693;59;0,695
"Section";"11";2012;51;0,529;42;0,524;219;66,2;156;0,699;46;63;0,603;38;0,737;68;392;0,676;62;0,661
"Section";"11";2013;36;0,444;34;0,441;187;71,1;127;0,685;31;68;0,5;27;0,481;67;330;0,658;63;0,683
"Section";"11";2014;37;0,622;29;0,586;196;70,4;130;0,723;26;50;0,46;21;0,476;61;395;0,653;59;0,661
"Section";"11";2015;36;0,694;25;0,68;191;68,6;126;0,706;26;55;0,491;20;0,35;64;362;0,691;59;0,729
"Section";"11";2016;33;0,879;27;0,926;150;67,3;111;0,676;33;51;0,686;24;0,708;67;340;0,665;62;0,774
"Section";"11";2017;41;0,78;33;0,788;226;68,1;179;0,709;30;50;0,86;22;0,818;52;398;0,671;51;0,686
"Section";"11";2018;38;0,684;35;0,743;160;63,8;124;0,645;23;59;0,78;21;0,857;52;323;0,675;44;0,659
"Section";"11";2019;34;0,618;28;0,679;197;66;151;0,715;22;65;0,646;19;0,632;52;349;0,691;49;0,735
"Section";"11";2020;45;0,578;35;0,629;215;68,4;161;0,708;22;81;0,58;19;0,632;53;409;0,636;52;0,769
"Section";"12";2009;22,020202020202;0,28;12;0,333;58,8063053155276;71,2;45;0,8;11;22;0,591;9;0,444;20;103;0,709;18;0,556
"Section";"12";2010;12,3313131313131;0,286;8;0,25;55,2422868115563;66,1;32;0,719;12;20;0,5;7;0,286;16;91;0,725;16;0,75
"Section";"12";2011;10;0,6;7;0,857;48;64,6;28;0,714;7;16;0,5;7;0,286;17;93;0,753;17;0,765
"Section";"12";2012;16;0,5;14;0,5;56;67,9;42;0,714;8;24;0,5;8;0,375;13;101;0,683;13;0,846
"Section";"12";2013;14;0,571;9;0,556;50;60;33;0,667;9;30;0,4;8;0,375;10;101;0,673;10;0,6
"Section";"12";2014;16;0,438;9;0,333;52;59,6;42;0,595;4;13;0,385;4;0,25;8;87;0,701;8;0,875
"Section";"12";2015;13;0,385;9;0,333;52;65,4;30;0,667;5;15;0,333;4;0,5;6;64;0,625;6;0,5
"Section";"12";2016;18;0,444;13;0,385;44;68,2;28;0,75;6;26;0,231;6;0,333;6;76;0,553;6;0,833
"Section";"12";2017;15;0,4;11;0,364;40;55;28;0,571;8;24;0,25;8;0,25;9;72;0,653;9;0,556
"Section";"12";2018;15;0,533;14;0,571;55;70,9;45;0,733;4;9;0,444;4;0,75;11;76;0,697;10;0,9
"Section";"12";2019;12;0,75;10;0,8;48;64,6;30;0,6;0;0;0;0;0;4;48;0,667;4;1
"Section";"12";2020;15;0,667;11;0,727;52;65,4;35;0,657;2;8;0,5;1;0;5;50;0,58;5;0,6
"Section";"13";2009;9,02380952380952;0,455;6;0,5;47,9087548062703;63,8;34;0,647;3;6;0,5;2;0;4;40;0,825;4;0,75
"Section";"13";2010;6,56277056277056;0,625;7;0,714;33,0405205560485;67,5;24;0,708;5;11;0,545;5;0,6;6;67;0,716;5;0,8
"Section";"13";2011;9;0,556;7;0,571;41;73,2;25;0,8;1;2;0,5;1;1;4;49;0,837;4;1
"Section";"13";2012;6;0,333;5;0,2;41;82,9;25;0,88;7;17;0,588;7;0,429;3;35;0,714;3;0,667
"Section";"13";2013;11;0,818;6;1;33;81,8;23;0,783;0;0;0;0;0;5;56;0,857;5;0,8
"Section";"13";2014;5;0,8;2;1;34;73,5;22;0,682;2;4;0,5;2;1;2;30;0,867;1;1
"Section";"13";2015;10;0,8;8;0,75;34;76,5;22;0,818;2;2;0,5;2;0,5;5;56;0,893;5;0,8
"Section";"13";2016;5;0,2;4;0;28;82,1;13;0,846;2;5;0,4;2;1;1;7;0,714;1;0
"Section";"13";2017;10;0,5;9;0,444;43;76,7;27;0,852;4;10;0,4;3;0,667;6;45;0,867;6;1
"Section";"13";2018;9;0,556;7;0,714;46;73,9;29;0,759;3;11;0,636;3;0,333;6;85;0,776;6;0,5
"Section";"13";2019;6;0,833;2;0,5;42;54,8;29;0,552;0;0;0;0;0;2;25;0,68;2;0,5
"Section";"13";2020;12;0,75;9;0,667;39;56,4;20;0,65;2;6;0,667;1;0;4;40;0,85;4;1
"Section";"14";2009;32,1271995977878;0,553;23;0,522;203,643201909338;68,6;101;0,743;33;39;0,487;16;0,625;58;281;0,641;56;0,607
"Section";"14";2010;42,2726310497208;0,54;25;0,6;177,556676044919;72;85;0,729;35;48;0,521;25;0,64;45;263;0,73;43;0,698
"Section";"14";2011;36;0,556;22;0,545;174;73,6;98;0,724;32;46;0,543;26;0,577;52;293;0,724;46;0,739
"Section";"14";2012;31;0,71;27;0,667;216;69,9;120;0,717;26;47;0,468;21;0,429;36;289;0,696;35;0,486
"Section";"14";2013;27;0,667;22;0,773;222;71,6;127;0,724;22;34;0,618;18;0,667;45;344;0,663;43;0,721
"Section";"14";2014;29;0,586;20;0,65;206;65,5;100;0,67;20;46;0,652;18;0,778;40;342;0,693;37;0,595
"Section";"14";2015;34;0,588;27;0,519;211;63,5;126;0,643;16;30;0,567;13;0,462;43;353;0,663;42;0,548
"Section";"14";2016;22;0,455;15;0,333;205;64,9;122;0,721;12;21;0,619;9;0,778;34;352;0,651;34;0,588
"Section";"14";2017;26;0,577;23;0,565;198;62,1;138;0,659;13;32;0,406;12;0,5;29;354;0,636;28;0,607
"Section";"14";2018;30;0,7;26;0,731;212;66,5;137;0,657;12;45;0,578;10;0,6;27;269;0,595;25;0,56
"Section";"14";2019;28;0,429;27;0,444;204;62,7;146;0,644;15;49;0,49;15;0,4;20;275;0,633;20;0,55
"Section";"14";2020;27;0,593;22;0,591;205;64,9;139;0,676;12;33;0,636;10;0,8;18;302;0,619;16;0,5
"Section";"15";2009;23,0421455938697;0,3;16;0,375;146,870421133853;56,2;88;0,545;16;17;0,471;11;0,455;18;90;0,478;18;0,444
"Section";"15";2010;17,6656449553001;0,435;12;0,417;106,381818551007;50;63;0,571;11;17;0,235;8;0,25;22;126;0,556;21;0,619
"Section";"15";2011;22;0,455;16;0,438;107;51,4;63;0,54;11;12;0,167;10;0,1;21;110;0,618;19;0,579
"Section";"15";2012;23;0,304;13;0,231;122;62,3;73;0,671;9;9;0,111;8;0,125;26;126;0,651;24;0,667
"Section";"15";2013;14;0,357;11;0,364;151;52,3;100;0,55;4;4;0,5;3;0,667;22;122;0,631;20;0,65
"Section";"15";2014;18;0,556;17;0,529;138;57,2;96;0,542;10;20;0,4;7;0,286;26;176;0,563;26;0,423
"Section";"15";2015;23;0,522;22;0,5;139;51,8;91;0,56;12;28;0,5;10;0,6;13;129;0,589;13;0,462
"Section";"15";2016;19;0,316;15;0,2;140;63,6;97;0,629;18;34;0,294;17;0,235;21;186;0,554;20;0,6
"Section";"15";2017;20;0,35;15;0,333;166;59,6;105;0,581;8;16;0,313;8;0,25;17;182;0,604;16;0,5
"Section";"15";2018;18;0,389;16;0,438;163;53,4;104;0,538;3;4;0,5;3;0,333;22;181;0,569;22;0,591
"Section";"15";2019;19;0,526;17;0,471;165;57;109;0,56;7;15;0,4;5;0,2;18;192;0,51;17;0,471
"Section";"15";2020;23;0,478;17;0,471;185;55,1;94;0,553;12;27;0,556;12;0,583;16;130;0,569;15;0,667
"Section";"16";2009;74,3258145363409;0,398;48;0,417;298,352318263519;59,9;141;0,645;42;74;0,419;34;0,441;66;310;0,603;63;0,524
"Section";"16";2010;49,8320802005013;0,475;32;0,469;247,073013561977;61,6;108;0,593;36;58;0,517;30;0,467;66;373;0,601;58;0,552
"Section";"16";2011;66;0,424;49;0,469;254;61,8;113;0,637;40;62;0,419;35;0,371;76;334;0,65;75;0,733
"Section";"16";2012;48;0,479;34;0,529;275;62,2;137;0,657;37;53;0,528;28;0,5;64;337;0,567;60;0,617
"Section";"16";2013;65;0,538;46;0,522;257;62,6;164;0,616;29;70;0,471;27;0,519;64;326;0,641;61;0,672
"Section";"16";2014;72;0,5;50;0,5;280;61,4;165;0,618;36;68;0,574;28;0,5;58;377;0,581;54;0,63
"Section";"16";2015;52;0,635;38;0,684;242;57,9;148;0,568;36;76;0,592;33;0,606;56;353;0,547;53;0,547
"Section";"16";2016;71;0,676;60;0,633;274;61,3;152;0,612;28;71;0,577;27;0,593;66;387;0,592;65;0,662
"Section";"16";2017;52;0,596;38;0,526;263;60,8;174;0,603;25;64;0,547;22;0,545;47;331;0,58;44;0,636
"Section";"16";2018;77;0,545;56;0,518;237;64,1;159;0,673;19;51;0,588;18;0,444;50;388;0,559;46;0,609
"Section";"16";2019;52;0,538;40;0,575;225;65,3;170;0,682;14;52;0,462;12;0,417;59;355;0,58;56;0,554
"Section";"16";2020;72;0,597;57;0,579;248;59,3;164;0,585;17;54;0,611;16;0,688;48;303;0,564;46;0,63
"Section";"17";2009;32,7068181818182;0,154;18;0,167;249,436531502767;35,3;111;0,36;11;43;0,279;11;0,273;13;267;0,341;13;0,308
"Section";"17";2010;40,2545454545455;0,25;24;0,167;225,016171775223;35,3;114;0,421;17;77;0,234;16;0,125;14;225;0,324;14;0,357
"Section";"17";2011;48;0,333;34;0,382;229;32,3;129;0,333;13;63;0,286;12;0,25;18;317;0,363;17;0,647
"Section";"17";2012;33;0,333;22;0,318;225;34,2;158;0,323;15;62;0,242;14;0,214;12;262;0,347;11;0,273
"Section";"17";2013;36;0,333;24;0,375;232;37,1;168;0,357;15;71;0,296;15;0,267;7;267;0,352;7;0,429
"Section";"17";2014;41;0,341;32;0,375;233;36,9;180;0,367;14;60;0,383;13;0,538;16;324;0,327;16;0,25
"Section";"17";2015;38;0,342;27;0,333;206;34,5;139;0,345;14;67;0,269;14;0,214;24;413;0,378;24;0,292
"Section";"17";2016;39;0,231;27;0,185;220;40,5;149;0,383;13;62;0,371;11;0,455;16;354;0,39;16;0,688
"Section";"17";2017;54;0,278;41;0,293;236;42,8;170;0,412;17;82;0,28;16;0,375;12;358;0,436;12;0,667
"Section";"17";2018;31;0,484;25;0,52;208;36,5;131;0,382;10;63;0,286;10;0,4;15;296;0,361;14;0,214
"Section";"17";2019;31;0,226;24;0,25;262;38,5;178;0,382;10;51;0,294;9;0,333;11;331;0,408;10;0,7
"Section";"17";2020;47;0,319;40;0,3;242;36,4;146;0,39;13;101;0,228;13;0,308;18;345;0,359;17;0,353
"Section";"18";2009;49,7540044493882;0,333;35;0,371;378,608007054569;56;199;0,573;23;56;0,357;18;0,278;34;437;0,563;31;0,516
"Section";"18";2010;46,2624953652206;0,434;37;0,351;320,15930550467;57,5;153;0,641;26;67;0,388;23;0,435;35;432;0,576;34;0,5
"Section";"18";2011;51;0,451;35;0,457;337;57;201;0,532;30;84;0,321;25;0,4;49;568;0,572;49;0,592
"Section";"18";2012;53;0,528;29;0,586;369;59,1;180;0,583;23;64;0,438;19;0,316;30;450;0,578;30;0,467
"Section";"18";2013;53;0,415;39;0,436;379;59,4;188;0,543;16;75;0,44;15;0,267;42;500;0,56;42;0,524
"Section";"18";2014;51;0,588;25;0,6;403;61,3;229;0,607;22;58;0,397;20;0,2;36;462;0,578;34;0,441
"Section";"18";2015;48;0,458;29;0,483;391;59,6;222;0,608;17;55;0,509;14;0,5;38;549;0,585;37;0,595
"Section";"18";2016;52;0,481;30;0,6;402;62,9;216;0,634;16;52;0,519;16;0,313;33;488;0,623;33;0,636
"Section";"18";2017;61;0,574;28;0,643;396;56,1;207;0,556;12;39;0,641;11;0,818;34;520;0,623;32;0,688
"Section";"18";2018;53;0,585;29;0,586;401;60,3;202;0,599;11;52;0,654;9;0,444;30;478;0,6;27;0,481
"Section";"18";2019;44;0,386;22;0,409;466;61,4;228;0,588;18;62;0,452;18;0,333;20;512;0,535;19;0,737
"Section";"18";2020;75;0,56;50;0,6;451;60,1;239;0,636;12;47;0,426;11;0,273;30;509;0,576;30;0,467
"Section";"19";2009;66,6724604721681;0,312;30;0,133;436,190041657336;47,8;264;0,511;28;55;0,382;21;0,476;42;564;0,496;40;0,5
"Section";"19";2010;58,0136993718865;0,328;21;0,571;369,023096836913;48,6;221;0,561;29;67;0,448;21;0,524;48;770;0,503;48;0,5
"Section";"19";2011;70;0,386;33;0,424;430;50;237;0,527;33;80;0,325;22;0,318;31;522;0,559;31;0,581
"Section";"19";2012;69;0,261;40;0,25;403;53,3;217;0,576;28;94;0,319;24;0,375;46;687;0,525;43;0,605
"Section";"19";2013;67;0,388;46;0,435;439;51;221;0,575;24;74;0,284;22;0,318;28;587;0,559;27;0,815
"Section";"19";2014;44;0,432;27;0,407;414;53,1;222;0,536;25;76;0,382;23;0,522;32;615;0,538;32;0,531
"Section";"19";2015;52;0,365;29;0,345;421;55,1;234;0,556;15;71;0,352;13;0,308;27;606;0,587;25;0,48
"Section";"19";2016;51;0,451;26;0,538;389;51,9;227;0,551;22;79;0,405;21;0,476;39;609;0,55;39;0,641
"Section";"19";2017;60;0,45;36;0,444;423;56,3;220;0,527;24;88;0,398;23;0,478;27;647;0,535;27;0,333
"Section";"19";2018;85;0,494;55;0,491;472;54,9;251;0,57;17;71;0,366;16;0,313;27;613;0,524;24;0,417
"Section";"19";2019;74;0,432;41;0,439;486;53,7;243;0,539;13;64;0,422;13;0,538;30;594;0,525;30;0,567
"Section";"19";2020;69;0,522;26;0,5;459;54,5;237;0,586;12;67;0,433;11;0,455;28;595;0,558;28;0,607
"Section";"2";2009;2,48888888888889;0,143;NA;NA;225,431972265744;41;46;0,391;29;22;0,273;15;0,2;58;111;0,396;51;0,373
"Section";"2";2010;0,711111111111111;0,5;NA;NA;217,945301600092;46,9;60;0,483;36;31;0,355;24;0,375;47;121;0,471;45;0,467
"Section";"2";2011;0;0;0;0;202;48;48;0,521;34;34;0,294;22;0,318;67;144;0,521;62;0,581
"Section";"2";2012;1;0;0;0;224;46,9;57;0,368;35;57;0,333;24;0,25;49;111;0,432;46;0,435
"Section";"2";2013;1;1;0;0;213;49,3;49;0,551;26;23;0,348;19;0,474;71;129;0,465;61;0,443
"Section";"2";2014;1;0;0;0;229;45,4;58;0,431;33;35;0,314;23;0,348;41;112;0,429;41;0,463
"Section";"2";2015;81;0,531;9;0,556;221;53,8;62;0,597;34;32;0,375;27;0,444;54;127;0,52;54;0,481
"Section";"2";2016;62;0,548;11;0,636;194;46,4;57;0,509;28;41;0,366;26;0,269;37;120;0,533;36;0,556
"Section";"2";2017;63;0,397;10;0,3;194;48,5;50;0,5;27;34;0,441;24;0,5;43;130;0,5;41;0,439
"Section";"2";2018;58;0,414;12;0,583;224;42,4;63;0,476;21;31;0,387;19;0,368;27;126;0,492;27;0,519
"Section";"2";2019;53;0,377;9;0,556;219;37,4;57;0,368;21;43;0,419;21;0,524;44;150;0,44;43;0,372
"Section";"2";2020;56;0,393;12;0,333;250;44,8;64;0,375;18;34;0,353;18;0,389;41;158;0,386;41;0,415
"Section";"20";2009;36,3904761904762;0,298;19;0,421;238,681218603285;54,2;119;0,571;5;13;0,308;4;0,25;7;173;0,59;6;0,667
"Section";"20";2010;29,4220871327254;0,395;19;0,526;236,371400358737;54,1;126;0,563;4;15;0,333;4;0;3;62;0,532;3;1
"Section";"20";2011;20;0,4;12;0,417;233;61,8;111;0,649;10;29;0,448;9;0,444;8;190;0,6;8;0,5
"Section";"20";2012;20;0,35;14;0,286;238;60,9;130;0,631;6;16;0,25;6;0;12;211;0,654;12;0,667
"Section";"20";2013;38;0,605;17;0,765;227;57,7;136;0,61;4;7;0,286;4;0,5;6;89;0,652;6;0,833
"Section";"20";2014;20;0,5;15;0,467;221;60,6;135;0,696;6;24;0,583;6;0,667;6;159;0,654;6;0,5
"Section";"20";2015;22;0,5;14;0,429;194;61,9;119;0,639;4;15;0,533;4;1;10;242;0,665;9;0,556
"Section";"20";2016;26;0,5;14;0,5;221;56,6;152;0,592;6;14;0,429;5;0;6;137;0,628;6;0,5
"Section";"20";2017;19;0,579;13;0,769;207;60,9;133;0,647;2;2;0;1;0;5;145;0,572;5;0,4
"Section";"20";2018;26;0,538;15;0,533;245;61,6;160;0,638;2;16;0,688;2;0,5;6;121;0,628;6;0,667
"Section";"20";2019;24;0,625;17;0,706;222;62,2;132;0,682;4;16;0,875;2;1;3;88;0,67;3;1
"Section";"20";2020;40;0,525;29;0,448;236;59,7;166;0,614;5;30;0,567;4;0,75;6;164;0,537;6;0,5
"Section";"21";2009;28,685608949911;0,59;30;0,6;235,507426150406;51,6;158;0,5;17;36;0,444;15;0,533;26;263;0,532;25;0,48
"Section";"21";2010;29,4211373845241;0,375;22;0,455;220,013516535248;55,6;146;0,596;22;44;0,432;18;0,389;33;326;0,558;33;0,485
"Section";"21";2011;33;0,303;26;0,231;199;53,3;131;0,511;24;49;0,449;22;0,591;26;323;0,505;26;0,538
"Section";"21";2012;36;0,444;25;0,44;204;58,3;136;0,625;32;53;0,396;29;0,379;30;316;0,522;30;0,567
"Section";"21";2013;25;0,64;17;0,647;209;56,5;134;0,56;17;30;0,567;16;0,625;29;318;0,541;28;0,536
"Section";"21";2014;35;0,4;29;0,345;213;56,8;132;0,545;16;42;0,333;13;0,538;18;287;0,519;18;0,444
"Section";"21";2015;35;0,543;30;0,533;202;59,9;142;0,599;16;39;0,333;16;0,313;9;201;0,473;9;0,111
"Section";"21";2016;29;0,414;23;0,435;224;57,1;165;0,594;19;36;0,25;15;0,2;16;311;0,569;16;0,438
"Section";"21";2017;32;0,531;23;0,522;187;52,9;137;0,54;13;48;0,438;13;0,462;21;351;0,513;20;0,3
"Section";"21";2018;43;0,372;31;0,419;239;53,6;178;0,545;23;54;0,444;23;0,435;12;234;0,513;12;0,5
"Section";"21";2019;33;0,545;29;0,552;254;55,1;161;0,584;9;22;0,5;9;0,444;17;324;0,485;17;0,588
"Section";"21";2020;44;0,386;36;0,417;245;49;178;0,478;13;35;0,429;13;0,385;14;327;0,483;12;0,333
"Section";"22";2009;87,4189015716615;0,35;61;0,426;488,079719248968;48,4;314;0,49;32;84;0,298;29;0,241;41;569;0,475;39;0,333
"Section";"22";2010;58,5706640530132;0,239;38;0,184;413,124619507162;48,3;233;0,498;40;106;0,283;36;0,278;42;601;0,488;42;0,548
"Section";"22";2011;74;0,378;54;0,389;449;49,4;291;0,467;36;111;0,315;34;0,382;46;696;0,51;42;0,5
"Section";"22";2012;65;0,431;57;0,386;470;47,9;321;0,474;40;88;0,25;34;0,294;48;680;0,487;47;0,532
"Section";"22";2013;64;0,391;50;0,36;466;48,1;319;0,448;28;76;0,263;26;0,192;33;651;0,445;33;0,455
"Section";"22";2014;57;0,333;45;0,422;492;52,4;313;0,505;20;80;0,388;20;0,5;42;647;0,464;40;0,35
"Section";"22";2015;69;0,319;52;0,346;466;53,6;304;0,533;26;87;0,276;25;0,24;30;600;0,483;28;0,464
"Section";"22";2016;62;0,532;49;0,551;487;46;358;0,458;29;102;0,363;26;0,462;31;631;0,498;29;0,793
"Section";"22";2017;56;0,464;42;0,5;465;52,5;319;0,524;20;74;0,392;19;0,474;42;741;0,483;42;0,5
"Section";"22";2018;79;0,342;63;0,349;495;49,1;342;0,5;26;98;0,398;23;0,435;29;550;0,455;27;0,407
"Section";"22";2019;52;0,423;38;0,421;468;47,9;333;0,48;18;70;0,414;17;0,353;20;578;0,486;20;0,45
"Section";"22";2020;81;0,383;60;0,417;498;50,8;346;0,517;23;90;0,411;21;0,476;33;625;0,462;30;0,6
"Section";"23";2009;33,9300506212609;0,325;25;0,4;199,659149913103;40,5;136;0,382;28;43;0,302;22;0,273;44;307;0,446;43;0,349
"Section";"23";2010;28,8405430280718;0,324;23;0,217;176,682501708817;45,7;132;0,455;26;37;0,243;20;0,25;47;309;0,408;46;0,478
"Section";"23";2011;38;0,184;33;0,182;180;46,7;130;0,492;23;48;0,167;21;0,19;31;274;0,467;30;0,4
"Section";"23";2012;27;0,407;18;0,5;187;48,1;124;0,508;15;41;0,317;12;0,5;28;285;0,481;28;0,679
"Section";"23";2013;46;0,348;34;0,353;212;50;143;0,517;32;59;0,407;26;0,385;27;300;0,43;26;0,346
"Section";"23";2014;48;0,375;32;0,438;210;45,2;137;0,511;13;36;0,417;11;0,364;23;331;0,48;22;0,455
"Section";"23";2015;37;0,162;24;0,208;233;45,1;151;0,424;22;56;0,375;19;0,316;25;327;0,446;25;0,4
"Section";"23";2016;42;0,357;30;0,367;213;47,4;145;0,49;22;71;0,38;19;0,316;19;286;0,503;19;0,474
"Section";"23";2017;32;0,469;23;0,478;176;51,7;117;0,487;14;42;0,5;14;0,357;22;291;0,553;22;0,5
"Section";"23";2018;34;0,353;25;0,24;214;46,7;126;0,492;7;35;0,514;6;0,167;23;298;0,544;23;0,478
"Section";"23";2019;36;0,306;21;0,238;226;46;117;0,419;10;40;0,375;9;0,333;14;188;0,441;14;0,5
"Section";"23";2020;49;0,449;29;0,552;200;45,5;116;0,534;13;35;0,343;12;0,167;25;281;0,459;25;0,44
"Section";"24";2009;31,2;0,361;11;0,273;152,054062360404;46,4;74;0,581;12;23;0,304;9;0,333;14;187;0,513;14;0,429
"Section";"24";2010;36,4;0,333;17;0,353;148,094321153102;47,6;77;0,494;9;16;0,25;6;0,167;15;158;0,5;14;0,571
"Section";"24";2011;39;0,333;19;0,316;135;61,5;75;0,627;10;30;0,4;8;0,625;14;149;0,497;14;0,357
"Section";"24";2012;35;0,429;7;0,857;138;47,8;58;0,552;8;26;0,308;7;0,286;11;133;0,526;10;0,5
"Section";"24";2013;27;0,296;9;0,333;149;47,7;67;0,493;7;20;0,3;5;0,4;12;154;0,506;11;0,727
"Section";"24";2014;30;0,467;11;0,455;161;56,5;71;0,648;9;20;0,65;7;0,857;12;184;0,467;12;0,75
"Section";"24";2015;49;0,367;15;0,333;170;42,9;82;0,537;10;28;0,357;10;0,4;4;104;0,5;4;0,5
"Section";"24";2016;35;0,4;15;0,4;161;54;64;0,688;6;22;0,409;5;0,6;8;193;0,565;8;0,875
"Section";"24";2017;31;0,484;16;0,625;149;52,3;75;0,533;4;24;0,417;4;0;6;125;0,56;6;0,5
"Section";"24";2018;20;0,5;9;0,556;119;52,1;55;0,564;2;9;0,333;2;0;6;135;0,496;5;0,4
"Section";"24";2019;25;0,48;13;0,385;160;55;80;0,575;2;6;0,333;1;0;6;102;0,471;5;0,6
"Section";"24";2020;34;0,441;12;0,583;139;54;68;0,618;1;9;0,222;1;0;2;36;0,639;2;0,5
"Section";"25";2009;150,092591677212;0,155;121;0,157;319,669455653549;19,2;249;0,185;31;242;0,153;29;0,172;61;499;0,204;58;0,224
"Section";"25";2010;102,547733444058;0,118;89;0,124;256,742397454031;21,6;207;0,237;26;194;0,144;26;0,077;46;447;0,228;46;0,196
